Manufacturer,Model,ICAO Type Designator,ICAO Legacy WTC,RECAT-EU WTC
DOUGLAS,AD Skyraider,A1,M,CAT-F
FAIRCHILD (1),A-10 Thunderbolt 2,A10,M,CAT-E
AEROTEC (1),A-122 Uirapuru,A122,L,CAT-F
ANTONOV,An-124 Ruslan,A124,H,CAT-A
HESA,IRAN-140 Faraz,A140,M,CAT-E
ANTONOV,An-148,A148,M,CAT-E
ANTONOV,An-158,A158,M,TBC
AVIADESIGN,A-16 Sport Falcon,A16,L,CAT-F
ANTONOV,An-178,A178,M,CAT-E
AEROPRACT,A-19,A19,L,CAT-F
AIRBUS,A319NEO,A19N,M,CAT-D
DOUGLAS,A-20 Havoc,A20,M,CAT-F
SCHLEICHER,ASW-20J,A20J,L,CAT-F
AIRBUS,A320NEO,A20N,M,CAT-D
AEROPRACT,A-21 Solo,A21,L,CAT-F
AQUILA,A-210,A210,L,CAT-F
ALFA-M,A-211,A211,L,CAT-F
AIRBUS,A321NEO,A21N,M,CAT-D
SADLER,Piranha,A22,L,CAT-F
OSKBES-MAI,Kityonok,A223,L,CAT-F
ANTONOV,Mriya,A225,H,Special
AEROPRACT,A-23 Dragon,A23,L,CAT-F
AVANTAGE,A-27,A27,L,CAT-F
IBIS (1),Ae-270 Ibis,A270,L,CAT-F
AVANTAGE,A-29,A29,L,CAT-F
DOUGLAS,A-3 Skywarrior,A3,M,CAT-E
AIRBUS,A-300B4-600,A306,H,CAT-C
AIRBUS,A-300B2-1,A30B,H,CAT-C
AVANTAGE,Spectrum,A31,L,CAT-F
AIRBUS,A-310,A310,H,CAT-C
AIRBUS,A-318,A318,M,CAT-D
AIRBUS,A-319,A319,M,CAT-D
AIRBUS,A-320,A320,M,CAT-D
AIRBUS,A-321,A321,M,CAT-D
AEROPRACT,A-33,A33,L,CAT-F
AIRBUS,A-330-200,A332,H,CAT-B
AIRBUS,A-330-300,A333,H,CAT-B
AIRBUS,A330-700 Beluga XL,A337,H,CAT-B
AIRBUS,A-330-800,A338,H,CAT-B
AIRBUS,A-330-900,A339,H,CAT-B
SCHLEICHER,AS-33Me,A33E,L,CAT-F
SCHLEICHER,AS-33Es,A33P,L,CAT-F
AIRBUS,A-340-200,A342,H,CAT-B
AIRBUS,A-340-300,A343,H,CAT-B
AIRBUS,A-340-500,A345,H,CAT-B
AIRBUS,A-340-600,A346,H,CAT-B
SCHLEICHER,AS-34Me,A34E,L,CAT-F
AVANTAGE,Scanner,A35,L,CAT-F
AIRBUS,A-350-900 XWB,A359,H,CAT-B
AIRBUS,A-350-1000 XWB,A35K,H,CAT-B
CESSNA,A-37 Dragonfly,A37,L,CAT-F
AIRBUS,A-380-800,A388,J,CAT-A
SATIC,A-300ST Beluga,A3ST,H,CAT-C
SINGAPORE,A-4 Super Skyhawk,A4,M,CAT-F
AIRBUS,A-400M Grizzly,A400,H,CAT-C
ILYUSHIN,Be-976,A50,H,CAT-C
ADAM (2),CarbonAero,A500,L,CAT-F
AVRO,504,A504,L,CAT-F
GRUMMAN,A-6 Intruder,A6,M,CAT-E
THRUSH,Turbo Thrush 660,A660,L,CAT-F
ADAM (2),AdamJet,A700,L,CAT-F
ANTONOV,An-74-300,A743,M,CAT-E
BRITISH AEROSPACE,Bae-748,A748,M,CAT-E
OSKBES-MAI,MAI-890,A890,L,CAT-F
NORTH AMERICAN,A-9 Sparrow,A9,L,CAT-F
OSKBES-MAI,Acrobat,A900,L,CAT-F
OSKBES-MAI,MAI-960 Interfly,A910,L,CAT-F
GULFSTREAM,AA-1 T-Cat,AA1,L,CAT-F
AEROPRACT,A-37,AA37,L,CAT-F
TIGER,AG-5 Tiger,AA5,L,CAT-F
AERO (3),AT-3,AAT3,L,CAT-F
GOBOSH,G-700,AAT4,L,CAT-F
AERO BOERO,AB-115,AB11,L,CAT-F
AERO BOERO,AB-150,AB15,L,CAT-F
AERO BOERO,AB-180,AB18,L,CAT-F
AERO BOERO,AB-95,AB95,L,CAT-F
ROCKWELL,112 Alpine,AC11,L,CAT-F
LIGHT WING,AC-4,AC4,L,CAT-F
ROCKWELL,500 Shrike,AC50,L,CAT-F
AERO (1),Commander 520,AC52,L,CAT-F
AERO COMMANDER,Commander 560,AC56,L,CAT-F
NANJING,Aircar,AC5A,L,CAT-F
AVIASTROITEL,AC-5M,AC5M,L,CAT-F
AERO COMMANDER,Commander 680FP,AC68,L,CAT-F
ROCKWELL,Commander 685,AC6L,L,CAT-F
AERO COMMANDER,Alti Cruiser,AC72,L,CAT-F
NORTH AMERICAN,680W Turbo 2,AC80,L,CAT-F
ROCKWELL,Jetprop Commander,AC90,L,CAT-F
ROCKWELL,Jetprop Commander,AC95,L,CAT-F
LOCKWOOD,Air Cam,ACAM,L,CAT-F
AUSTER,Autocar,ACAR,L,CAT-F
POWELL,P-70 Acey Deucy,ACED,L,CAT-F
OPTION AIR,Acapella,ACPL,L,CAT-F
EAA,Acro-Sport 2,ACR2,L,CAT-F
AVIA (3),Accord,ACRD,L,CAT-F
EAA,Super Acro-Sport,ACRO,L,CAT-F
VICTA,Aircruiser,ACSR,L,CAT-F
NANJING UNIVERSITY,AD-200,AD20,L,CAT-F
AUSTER,Adventurer,ADVE,L,CAT-F
LET,Aero 45,AE45,L,CAT-F
AMERICAN EAGLE,A-1,AEA1,L,CAT-F
AERONCA,CF Scout,AERK,L,CAT-F
TED SMITH,Aerostar,AEST,L,CAT-F
HALLEY,Apollo Fox,AFOX,L,CAT-F
GATARD,AG-02 Poussin,AG02,L,CAT-F
CAIGA,AG-600 Kunlong,AG60,M,CAT-D
IKAR,Ai-10 Ikar,AI10,L,CAT-F
AUSTER,Aiglet Trainer,AIGT,L,CAT-F
BEAGLE-AUSTER,Airedale,AIRD,L,CAT-F
AERONIX,Airelle,AIRL,L,CAT-F
COMAC,ARJ-21-700 Xiangfeng,AJ27,M,CAT-E
DORNIER,Alpha Jet,AJET,M,CAT-F
AKAFLIEG KARLSRUHE,AK-1,AK1,L,CAT-F
STEPHENS,Akro,AKRO,L,CAT-F
AVIATION,Alaskan Bushmaster,ALBU,L,CAT-F
ALTAIR COELHO,AC-11,ALC1,L,CAT-F
FANTASY AIR,Allegro,ALGR,L,CAT-F
ARION,Lightning,ALIG,L,CAT-F
BREGUET,1050 Alizé,ALIZ,M,CAT-F
AUSTER,Alpine,ALPI,L,CAT-F
AIRLONY,Skylane,ALSL,L,CAT-F
DIRECT FLY,Alto,ALTO,L,CAT-F
ATLAS,AM-3 Bosbok,AM3,L,CAT-F
EMBRAER,AMX,AMX,M,CAT-F
ANTONOV,An-12,AN12,M,CAT-D
ANTONOV,An-2,AN2,L,CAT-F
ANTONOV,An-22 Antheus,AN22,H,CAT-B
ANTONOV,An-24,AN24,M,CAT-E
ANTONOV,An-26,AN26,M,CAT-E
PZL-MIELEC,An-28,AN28,L,CAT-F
